valve_serial_number,valve_size_in,valve_size_dn,valve_rating,valve_manufacturer,valve_item_code,valve_type,valve_seat_type,valve_end_connection,valve_operator,valve_bore_type,valve_seat_material,valve_body_material,valve_obturator_material,valve_stem_material
OGKZ - 000079,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000080,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000081,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000082,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000083,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000084,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000085,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000086,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000087,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000088,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000089,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000090,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000091,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000092,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000093,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000094,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000095,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000096,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000097,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000098,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000099,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000100,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000101,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000102,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000103,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000104,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000105,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000106,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000107,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000108,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000109,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000110,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000111,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000112,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000113,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000114,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000115,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000116,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000117,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000118,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000119,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 0000120,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
16117017003,"1""",100,2500,PERAR,B25RS01,BALL - FLOATING,SOFT,RTJ,LEVER,FB,PEEK,F316,625,718
16117018001,"1""",100,2500,PERAR,B25RCO1,BALL - FLOATING,SOFT,RTJ,LEVER,FB,PEEK,LF2,625,718
16117018002,"1""",100,2500,PERAR,B25RCO1,BALL - FLOATING,SOFT,RTJ,LEVER,FB,PEEK,LF2,625,718
16117018003,"1""",100,2500,PERAR,B25RCO1,BALL - FLOATING,SOFT,RTJ,LEVER,FB,PEEK,LF2,625,718
16117018004,"1""",100,2500,PERAR,B25RCO1,BALL - FLOATING,SOFT,RTJ,LEVER,FB,PEEK,LF2,625,718
16117018005,"1""",100,2500,PERAR,B25RCO1,BALL - FLOATING,SOFT,RTJ,LEVER,FB,PEEK,LF2,625,718
16117018006,"1""",100,2500,PERAR,B25RCO1,BALL - FLOATING,SOFT,RTJ,LEVER,FB,PEEK,LF2,625,718
AM32033/1-V2,"2""",100,1500,GOODWIN,C15AC45,CHECK - DUAL PLATE,METAL,RTJ,NotApplicable,FB,316,LF2,625,NotApplicable
AM31773/3-V1,"2""",100,2500,GOODWIN,C25RC45,CHECK - DUAL PLATE,METAL,RTJ,NotApplicable,FB,316,LF2,625,NotApplicable
AM31773/3-V2,"2""",100,2500,GOODWIN,C25RC45,CHECK - DUAL PLATE,METAL,RTJ,NotApplicable,FB,316,LF2,625,NotApplicable
16/10280,"1""",100,2500,GALPERTI,K25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10281,"1""",100,2500,GALPERTI,K25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10282,"1""",100,2500,GALPERTI,K25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10283,"1""",100,2500,GALPERTI,K25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10284,"1""",100,2500,GALPERTI,K25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10285,"1""",100,2500,GALPERTI,K25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10286,"1""",100,2500,GALPERTI,K25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10287,"1""",100,2500,GALPERTI,K25RS02,DBB,METAL,RTJ,LEVER,FB,316,A182,316,316
16/10288,"1""",100,2500,GALPERTI,K25RS02,DBB,METAL,RTJ,LEVER,FB,316,A182,316,316
16/10289,"1""",100,2500,GALPERTI,K25RS02,DBB,METAL,RTJ,LEVER,FB,316,A182,316,316
16/10290,"1""",100,2500,GALPERTI,K25RS02,DBB,METAL,RTJ,LEVER,FB,316,A182,316,316
16/10291,"1""",100,2500,GALPERTI,K25RS02,DBB,METAL,RTJ,LEVER,FB,316,A182,316,316
16/10292,"1""",100,2500,GALPERTI,K25RS02,DBB,METAL,RTJ,LEVER,FB,316,A182,316,316
16/10293,"1""",100,2500,GALPERTI,K25RS02,DBB,METAL,RTJ,LEVER,FB,316,A182,316,316
16/10294,"1""",100,2500,GALPERTI,K25RS02,DBB,METAL,RTJ,LEVER,FB,316,A182,316,316
16/10295,"1""",100,2500,GALPERTI,K25RS02,DBB,METAL,RTJ,LEVER,FB,316,A182,316,316
16/10296,"1""",100,2500,GALPERTI,K25RS02,DBB,METAL,RTJ,LEVER,FB,316,A182,316,316
16/10297,"1""",100,2500,GALPERTI,K25RS02,DBB,METAL,RTJ,LEVER,FB,316,A182,316,316
16/10308,"3/4""",100,2500,GALPERTI,M25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10309,"3/4""",100,2500,GALPERTI,M25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10316,"1-1/2""",100,2500,GALPERTI,M25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10317,"1-1/2""",100,2500,GALPERTI,M25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10318,"1-1/2""",100,2500,GALPERTI,M25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16/10319,"1-1/2""",100,2500,GALPERTI,M25RC02,DBB,METAL,RTJ,LEVER,FB,625,LF2,625,625
16117023001,"2""",100,2500,PERAR,A25RS07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,F316,625,718
16117023004,"2""",100,2500,PERAR,A25RS07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,F316,625,718
16117023005,"2""",100,2500,PERAR,A25RS07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,F316,625,718
16117023006,"2""",100,2500,PERAR,A25RS07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,F316,625,718
16117024001,"2""",100,2500,PERAR,A25RC07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,LF2,625,718
16117024002,"2""",100,2500,PERAR,A25RC07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,LF2,625,718
16117024004,"2""",100,2500,PERAR,A25RC07,BALL - TRUNNION,SOFT,RTJ,GEARBOX - MANUAL,RB,PEEK,LF2,625,718
16119005001,"20""",100,900,PERAR,A09CC08-K21,BALL - TRUNNION,METAL,COMPACT,GEARBOX - MANUAL,RB,625,LF2,F60,718
16119005002,"20""",100,900,PERAR,A09CC08-K21,BALL - TRUNNION,METAL,COMPACT,GEARBOX - MANUAL,RB,625,LF2,F60,718
16117094002,"6""",100,900,PERAR,A09AC07,BALL - TRUNNION,SOFT,RF,GEARBOX - MANUAL,RB,625/PEEK,LF2,625,718
16117094003,"6""",100,900,PERAR,A09AC07,BALL - TRUNNION,SOFT,RF,GEARBOX - MANUAL,RB,625/PEEK,LF2,625,718
1611794006,"6""",100,900,PERAR,A09AC07,BALL - TRUNNION,SOFT,RF,GEARBOX - MANUAL,RB,625/PEEK,LF2,625,718
16117094009,"6""",100,900,PERAR,A09AC07,BALL - TRUNNION,SOFT,RF,GEARBOX - MANUAL,RB,625/PEEK,LF2,625,718
16119005003,"20""",100,900,PERAR,A09CC08-K21,BALL - TRUNNION,METAL,COMPACT,GEARBOX - MANUAL,RB,625,LF2,F60,718
